Titre,Lien_du_titre,eventresultdate,eventresultdate1,eventresultdate2,location_lien,location,location3,eventresultgenreitem,eventresultartistlink,prix
"
      LP
    ",https://www.ticketmaster.fr/fr/manifestation/lp-billet/idmanif/566325,"
      17 mars 2024
    ","
      17 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          LP
        ","
      à partir de
      41.50 €"
"
      MOTHER MOTHER
    ",https://www.ticketmaster.fr/fr/manifestation/mother-mother-billet/idmanif/566332,"
      22 mars 2024
    ","
      22 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - POP ROCK FOLK,"
          MOTHER MOTHER
        ","
      à partir de
      37.50 €"
"
      IAM
    ",https://www.ticketmaster.fr/fr/manifestation/iam-billet/idmanif/561597,"
      22 mars 2024
    ","
      22 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/espace-leo-ferre/idsite/6096,ESPACE LEO FERRE,MONACO,CONCERT - RAP HIP-HOP SLAM,"
          I AM
        ","
      à partir de
      38.50 €"
"
      PABLO MIRA
    ",https://www.ticketmaster.fr/fr/manifestation/pablo-mira-billet/idmanif/557194,"
      1 juin 2024
    ","
      1 juin 2024
    ",,https://www.ticketmaster.fr/fr/salle/salle-prince-pierre-grimaldi-forum/idsite/2956,SALLE PRINCE PIERRE - GRIMALDI FORUM,MONACO,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,"
          PABLO MIRA
        ","
      à partir de
      44.50 €"
"
      MASS HYSTERIA
    ",https://www.ticketmaster.fr/fr/manifestation/mass-hysteria-billet/idmanif/564128,"
      23 mars 2024
    ","
      23 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - HARD METAL,"
          MASS HYSTERIA
        ","
      à partir de
      35.20 €"
"
      PAROV STELAR
    ",https://www.ticketmaster.fr/fr/manifestation/parov-stelar-billet/idmanif/566347,"
      23 mars 2024
    ","
      23 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - MUSIQUE ELECTRONIQUE,"
          PAROV STELAR
        ","
      à partir de
      50.00 €"
"
      L'HERITAGE GOLDMAN
    ",https://www.ticketmaster.fr/fr/manifestation/l-heritage-goldman-billet/idmanif/567023,"
      24 mars 2024
    ","
      24 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          L'HERITAGE GOLDMAN
        ","
      à partir de
      49.00 €"
"
      MIKA
    ",https://www.ticketmaster.fr/fr/manifestation/mika-billet/idmanif/564602,"
      26 mars 2024
    ","
      26 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - VARIETE INTERNATIONALE,"
          MIKA
        ","
      à partir de
      53.00 €"
"
      PLOPSALAND - PASS ADULTE + PARKING
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-pass-adulte-parking-billet/idmanif/546917,"
    Du
    
      9 février 2023
    
    au
    
      27 mars 2024
    ","
      9 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      149.00 €"
"
      PLOPSALAND
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-billet/idmanif/546895,"
    Du
    
      9 février 2023
    
    au
    
      27 mars 2024
    ","
      9 février 2023
    ","
      27 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      17.99 €"
"
      REAL MADRID / ATHLETIC BILBAO
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-athletic-bilbao-billet/idmanif/560232,"
      30 mars 2024
    ","
      30 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      187.00 €"
"
      PLOPSAQUA
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaqua-billet/idmanif/546925,"
    Du
    
      9 février 2023
    
    au
    
      29 mars 2024
    ","
      9 février 2023
    ","
      29 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaqua/idsite/16287,PLOPSAQUA,LA PANNE,PARC - PARC AQUATIQUE,"
          PLOPSALAND
        ","
      à partir de
      13.50 €"
"
      PLOPSAQUA- PASS ADULTE + PARKING
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaqua-pass-adulte-parking-billet/idmanif/546931,"
    Du
    
      9 février 2023
    
    au
    
      29 mars 2024
    ","
      9 février 2023
    ","
      29 mars 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaqua/idsite/16287,PLOPSAQUA,LA PANNE,PARC - PARC AQUATIQUE,"
          PLOPSALAND
        ","
      à partir de
      149.00 €"
"
      FC BARCELONE / LAS PALMAS
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-las-palmas-billet/idmanif/560705,"
      30 mars 2024
    ","
      30 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      82.50 €"
"
      CENDRILLON
    ",https://www.ticketmaster.fr/fr/manifestation/cendrillon-billet/idmanif/562448,"
      31 mars 2024
    ","
      31 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-namur/idsite/11619,THEATRE DE NAMUR,NAMUR,THEATRE - COMEDIE,"
          CENDRILLON
        ","
      à partir de
      13.60 €"
"
      ADOS VS PARENTS : MODE D'EMPLOI
    ",https://www.ticketmaster.fr/fr/manifestation/ados-vs-parents-mode-d-emploi-billet/idmanif/562467,"
      31 mars 2024
    ","
      31 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-namur/idsite/11619,THEATRE DE NAMUR,NAMUR,THEATRE - COMEDIE,"
          ADOS VS PARENTS MODE D'EMPLOI
        ","
      à partir de
      21.00 €"
"
      LE CLAN DES DIVORCEES
    ",https://www.ticketmaster.fr/fr/manifestation/le-clan-des-divorcees-billet/idmanif/562522,"
      31 mars 2024
    ","
      31 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-namur/idsite/11619,THEATRE DE NAMUR,NAMUR,THEATRE - COMEDIE,"
          LE CLAN DES DIVORCEES
        ","
      à partir de
      37.20 €"
"
      CARAVAN PALACE
    ",https://www.ticketmaster.fr/fr/manifestation/caravan-palace-billet/idmanif/567254,"
      3 avril 2024
    ","
      3 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/shepherd-s-bush-empire/idsite/15956,Shepherd's Bush Empire,LONDRES,CONCERT - POP ROCK FOLK,"
          CARAVAN PALACE
        ","
      à partir de
      41.10 €"
"
      WARKINGS
    ",https://www.ticketmaster.fr/fr/manifestation/warkings-billet/idmanif/562395,"
      4 avril 2024
    ","
      4 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          WARKINGS
        ","
      à partir de
      33.70 €"
"
      MAHMOOD
    ",https://www.ticketmaster.fr/fr/manifestation/mahmood-billet/idmanif/554641,"
      4 avril 2024
    ","
      4 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          MAHMOOD
        ","
      à partir de
      60.00 €"
"
      PLOPSALAND - PROMOTION
    ",https://www.ticketmaster.fr/fr/manifestation/plopsaland-promotion-billet/idmanif/567411,"
    Du
    
      30 octobre 2023
    
    au
    
      15 juillet 2024
    ","
      30 octobre 2023
    ","
      15 juillet 2024
    ",https://www.ticketmaster.fr/fr/salle/plopsaland/idsite/3471,PLOPSALAND,LA PANNE,PARC - PARC DE LOISIRS,"
          PLOPSALAND
        ","
      à partir de
      33.95 €"
"
      ATLETICO MADRID / GIRONA
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-girona-billet/idmanif/560783,"
      13 avril 2024
    ","
      13 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      MAXIME GASTEUIL
    ",https://www.ticketmaster.fr/fr/manifestation/maxime-gasteuil-billet/idmanif/543126,"
      13 avril 2024
    ","
      13 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/espace-leo-ferre/idsite/6096,ESPACE LEO FERRE,MONACO,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          MAXIME GASTEUIL
        ","
      à partir de
      34.20 €"
"
      MR. BIG
    ",https://www.ticketmaster.fr/fr/manifestation/mr-big-billet/idmanif/564976,"
      15 avril 2024
    ","
      15 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          MR. BIG
        ","
      à partir de
      43.50 €"
"
      FEUERSCHWANZ
    ",https://www.ticketmaster.fr/fr/manifestation/feuerschwanz-billet/idmanif/562397,"
      18 avril 2024
    ","
      18 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          FEUERSCHWANZ
        ","
      à partir de
      44.70 €"
"
      REAL MADRID / FC BARCELONA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-fc-barcelona-billet/idmanif/560234,"
      20 avril 2024
    ","
      20 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      735.00 €"
"
      JEFF PANACLOC
    ",https://www.ticketmaster.fr/fr/manifestation/jeff-panacloc-billet/idmanif/549500,"
      21 avril 2024
    ","
      21 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          JEFF PANACLOC
        ","
      à partir de
      41.50 €"
"
      BEYOND THE BLACK
    ",https://www.ticketmaster.fr/fr/manifestation/beyond-the-black-billet/idmanif/562396,"
      21 avril 2024
    ","
      21 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          BEYOND THE BLACK
        ","
      à partir de
      45.46 €"
"
      PINK MARTINI
    ",https://www.ticketmaster.fr/fr/manifestation/pink-martini-billet/idmanif/565927,"
      24 avril 2024
    ","
      24 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - BLUES COUNTRY,"
          PINK MARTINI
        ","
      à partir de
      48.50 €"
"
      ATLETICO MADRID / ATHLETIC BILBAO
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-athletic-bilbao-billet/idmanif/560781,"
      27 avril 2024
    ","
      27 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      115.50 €"
"
      FC BARCELONE / VALENCIA
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-valencia-billet/idmanif/560722,"
      27 avril 2024
    ","
      27 avril 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      82.50 €"
"
      AVISHAI COHEN BANDA IROKO
    ",https://www.ticketmaster.fr/fr/manifestation/avishai-cohen-banda-iroko-billet/idmanif/566943,"
      2 mai 2024
    ","
      2 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - JAZZ,"
          AVISHAI COHEN
        ","
      à partir de
      49.00 €"
"
      LE LAC DES CYGNES - BALLET ET ORCHESTRE
    ",https://www.ticketmaster.fr/fr/manifestation/le-lac-des-cygnes-ballet-et-orchestre-billet/idmanif/552808,"
      2 mai 2024
    ","
      2 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,DANSE - DANSE CLASSIQUE,"
          LE LAC DES CYGNES
        ","
      à partir de
      52.00 €"
"
      THE BLUES BROTHERS
    ",https://www.ticketmaster.fr/fr/manifestation/the-blues-brothers-billet/idmanif/566184,"
    Du
    
      3 mai 2024
    
    au
    
      4 mai 2024
    ","
      3 mai 2024
    ","
      4 mai 2024
    ",https://www.ticketmaster.fr/fr/salle/salle-des-princes-grimaldi-forum/idsite/2956,SALLE DES PRINCES - GRIMALDI FORUM,MONACO,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          THE BLUES BROTHERS
        ","
      à partir de
      33.20 €"
"
      TENACIOUS D
    ",https://www.ticketmaster.fr/fr/manifestation/tenacious-d-billet/idmanif/566336,"
      3 mai 2024
    ","
      3 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          TENACIOUS D
        ",
"
      REAL MADRID / CADIZ
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-cadiz-billet/idmanif/560237,"
      4 mai 2024
    ","
      4 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      165.00 €"
"
      FC BARCELONE / REAL SOCIEDAD
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-real-sociedad-billet/idmanif/560724,"
      11 mai 2024
    ","
      11 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      93.50 €"
"
      ATLETICO MADRID / CELTA VIGO
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-celta-vigo-billet/idmanif/560776,"
      11 mai 2024
    ","
      11 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      BELLEWAERDE PARK - OFFRE ENFANT GRATUIT
    ",https://www.ticketmaster.fr/fr/manifestation/bellewaerde-park-offre-enfant-gratuit-billet/idmanif/567844,"
    Du
    
      9 décembre 2023
    
    au
    
      12 mai 2024
    ","
      9 décembre 2023
    ","
      12 mai 2024
    ",https://www.ticketmaster.fr/fr/salle/bellewaerde-park/idsite/5306,BELLEWAERDE PARK,YPRES,PARC - PARC DE LOISIRS,"
          BELLEWAERDE
        ",
"
      REAL MADRID / ALAVES
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-alaves-billet/idmanif/560247,"
      14 mai 2024
    ","
      14 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      165.00 €"
"
      FC BARCELONE / RAYO VALLECANO
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-rayo-vallecano-billet/idmanif/560726,"
      18 mai 2024
    ","
      18 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      93.50 €"
"
      ATLETICO MADRID / OSASUNA
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-osasuna-billet/idmanif/560774,"
    Du
    
      18 mai 2024
    
    au
    
      28 mai 2024
    ","
      18 mai 2024
    ","
      28 mai 2024
    ",https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      MC SOLAAR
    ",https://www.ticketmaster.fr/fr/manifestation/mc-solaar-billet/idmanif/560468,"
      24 mai 2024
    ","
      24 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          MC SOLAAR
        ","
      à partir de
      40.50 €"
"
      REAL MADRID / REAL BETIS
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-real-betis-billet/idmanif/560251,"
      25 mai 2024
    ","
      25 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      230.00 €"
"
      ROCK IN RIO LISBOA 2024 - DAILY GA
    ",https://www.ticketmaster.fr/fr/manifestation/rock-in-rio-lisboa-2024-daily-ga-billet/idmanif/566841,"
    Du
    
      15 juin 2024
    
    au
    
      23 juin 2024
    ","
      15 juin 2024
    ","
      23 juin 2024
    ",https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ED SHEERAN
        ","
      à partir de
      84.00 €"
"
      ROCK IN RIO LISBOA - DAILY VIP 15/06
    ",https://www.ticketmaster.fr/fr/pack/rock-in-rio-lisboa-daily-vip-15-06-billet/idpack/3265,"
      15 juin 2024
    ","
      15 juin 2024
    ",,https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ROCK IN RIO
        ",
"
      ROCK IN RIO LISBOA - DAILY VIP 16/06
    ",https://www.ticketmaster.fr/fr/pack/rock-in-rio-lisboa-daily-vip-16-06-billet/idpack/3266,"
      16 juin 2024
    ","
      16 juin 2024
    ",,https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ROCK IN RIO
        ",
"
      ROCK IN RIO LISBOA - DAILY VIP 22/06
    ",https://www.ticketmaster.fr/fr/pack/rock-in-rio-lisboa-daily-vip-22-06-billet/idpack/3267,"
      22 juin 2024
    ","
      22 juin 2024
    ",,https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ROCK IN RIO
        ",
"
      ROCK IN RIO LISBOA - DAILY VIP 23/06
    ",https://www.ticketmaster.fr/fr/pack/rock-in-rio-lisboa-daily-vip-23-06-billet/idpack/3268,"
      23 juin 2024
    ","
      23 juin 2024
    ",,https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ROCK IN RIO
        ",
"
      HOLIDAY PARK
    ",https://www.ticketmaster.fr/fr/manifestation/holiday-park-billet/idmanif/547193,"
    Du
    
      1 avril 2023
    
    au
    
      12 juillet 2024
    ","
      1 avril 2023
    ","
      12 juillet 2024
    ",https://www.ticketmaster.fr/fr/salle/holiday-park/idsite/14131,HOLIDAY PARK,HASSLOCH,PARC - PARC DE LOISIRS,"
          HOLIDAY PARK
        ","
      à partir de
      17.99 €"
